journal_ID,journal,journal_full_title,downloaded_articles,missing_abstracts,non_english_articles,usable_articles,final_article_count
94,journal_of_acquired_immune_deficiency_syndromes_(1999),Journal of acquired immune deficiency syndromes (1999),7744,2567,0,5177,5177.0
95,psychophysiology,Psychophysiology,5866,2632,0,3234,3234.0
96,hippocampus,Hippocampus,3005,610,0,2395,2395.0
97,clinical_journal_of_the_american_society_of_nephrology_cjasn,Clinical journal of the American Society of Nephrology : CJASN,4824,2265,0,2559,2559.0
98,journal_of_the_american_medical_informatics_association_jamia,Journal of the American Medical Informatics Association : JAMIA,3924,1043,0,2881,2881.0
99,journal_of_the_european_ceramic_society,Journal of the European Ceramic Society,6,2,0,4,4.0
100,autophagy,Autophagy,3900,858,0,3042,3042.0
101,biogeochemistry,Biogeochemistry,31,20,0,11,11.0
102,science_advances,Science advances,8614,2190,0,6424,6424.0
103,journal_of_the_association_for_information_science_and_technology,Journal of the Association for Information Science and Technology,29,0,0,29,29.0
104,appetite,Appetite,6476,2433,0,4043,4043.0
105,endoscopy,Endoscopy,12705,9169,1,3535,3535.0
106,neurocomputing,Neurocomputing,86,6,0,80,80.0
107,haematologica,Haematologica,13679,7831,0,5848,5848.0
108,omega,Omega,1211,231,0,980,980.0
109,omega,Omega,1211,231,0,980,0.0
110,genomics,Genomics,9944,1418,0,8526,8526.0
111,synthesis,Synthesis,123,38,0,85,85.0
112,synthesis,Synthesis,123,38,0,85,0.0
113,elife,eLife,12697,2724,0,9973,9973.0
114,nature_reviews_rheumatology,Nature reviews. Rheumatology,2465,1708,0,757,757.0
115,biochimie,Biochimie,8858,2946,255,5657,5657.0
116,resuscitation,Resuscitation,8946,4614,7,4325,4325.0
117,tectonics,Tectonics,10,10,0,0,0.0
118,immunology,Immunology,12813,3456,0,9357,9357.0
119,theriogenology,Theriogenology,11653,4053,0,7600,7600.0
120,crystengcomm,CrystEngComm,46,18,0,28,28.0
121,transfusion,Transfusion,14496,7085,0,7411,7411.0
122,transfusion,Transfusion,14496,7085,0,7411,0.0
123,biotechniques,BioTechniques,7065,3232,0,3833,3833.0
124,phytopathology,Phytopathology,4964,1140,0,3824,3824.0
125,biometrics,Biometrics,5645,1295,1,4349,4349.0
126,neuropsychology,Neuropsychology,1930,187,0,1743,1743.0
127,demography,Demography,2912,458,0,2454,2454.0
128,catena,Catena,2,1,0,1,1.0
129,ecography,Ecography,23,3,0,20,20.0
130,electroanalysis,Electroanalysis,44,14,0,30,30.0
131,glycobiology,Glycobiology,3595,919,0,2676,2676.0
132,ambio,Ambio,2476,665,0,1811,1811.0
133,journal_of_the_american_society_for_mass_spectrometry,Journal of the American Society for Mass Spectrometry,6093,2110,0,3983,3983.0
134,oncotarget,Oncotarget,26177,8455,0,17722,17722.0
