journal_ID,journal,journal_full_title,downloaded_articles,missing_abstracts,non_english_articles,usable_articles,final_article_count
88,de_economist,De Economist,10,0,0,10,10.0
89,differences,Differences,1,0,0,1,1.0
90,international_journal_of_older_people_nursing,International journal of older people nursing,744,398,0,346,346.0
91,journal_of_the_american_psychiatric_nurses_association,Journal of the American Psychiatric Nurses Association,752,277,0,475,475.0
92,journal_of_the_indian_institute_of_science,Journal of the Indian Institute of Science,51,17,0,34,34.0
93,journal_of_the_indian_medical_association,Journal of the Indian Medical Association,11686,9101,0,2585,2585.0
94,metroeconomica,Metroeconomica,4,0,0,4,4.0
95,neuroethics,Neuroethics,71,8,0,63,63.0
96,ratio,Ratio,2,0,0,2,2.0
97,sydowia,Sydowia,6,0,0,6,6.0
98,anatolian_journal_of_cardiology,Anatolian journal of cardiology,1782,1467,0,315,315.0
99,annals_of_gis,Annals of GIS,4,0,0,4,4.0
100,biomedicines,Biomedicines,3874,1098,0,2776,2776.0
101,biosocieties,BioSocieties,55,13,0,42,42.0
102,br_j_hosp_med_(lond),"British journal of hospital medicine (London, England : 2005)",4380,2930,0,1450,1450.0
103,cytologia,Cytologia,294,293,0,1,1.0
104,geburtshilfe_und_frauenheilkunde,Geburtshilfe und Frauenheilkunde,7860,4637,3150,73,73.0
105,glob_health_sci_pract,"Global health, science and practice",735,274,0,461,461.0
106,heliyon,Heliyon,9201,3245,0,5956,5956.0
107,helminthologia,Helminthologia,182,53,0,129,129.0
108,hippokratia,Hippokratia,1016,392,0,624,624.0
109,journal_of_indian_society_of_periodontology,Journal of Indian Society of Periodontology,1473,457,0,1016,1016.0
110,microbial_genomics,Microbial genomics,769,377,0,392,392.0
111,nurs_leadersh_(tor_ont),"Nursing leadership (Toronto, Ont.)",804,279,0,525,525.0
112,operative_orthopadie_und_traumatologie,Operative Orthopadie und Traumatologie,1018,705,287,26,26.0
113,proceedings_of_the_entomological_society_of_washington,Proceedings of the Entomological Society of Washington,2,0,0,2,2.0
114,revista_da_escola_de_enfermagem_da_u_s_p,Revista da Escola de Enfermagem da U S P,3982,1914,1987,81,81.0
115,schweizer_archiv_fur_tierheilkunde,Schweizer Archiv fur Tierheilkunde,3639,2618,847,174,174.0
116,sensing_and_bio-sensing_research,Sensing and Bio-Sensing Research,15,9,0,6,6.0
117,shokuhin_eiseigaku_zasshi,Shokuhin eiseigaku zasshi. Journal of the Food Hygienic Society of Japan,1161,378,612,171,171.0
118,virologica_sinica,Virologica Sinica,1006,526,0,480,480.0
119,z_evid_fortbild_qual_gesundhwes,"Zeitschrift fur Evidenz, Fortbildung und Qualitat im Gesundheitswesen",1372,530,706,136,136.0
120,zeitschrift_fur_psychosomatische_medizin_und_psychotherapie,Zeitschrift fur Psychosomatische Medizin und Psychotherapie,750,376,361,13,13.0
121,argumentation,Argumentation,3,0,0,3,3.0
122,bulletin_of_the_malaysian_mathematical_sciences_society,Bulletin of the Malaysian Mathematical Sciences Society,3,1,0,2,2.0
123,cytojournal,CytoJournal,478,141,0,337,337.0
124,endokrynologia_polska,Endokrynologia Polska,3189,2000,392,797,797.0
125,herd,HERD,881,321,0,560,560.0
126,human_gene_therapy_methods,Human gene therapy methods,249,105,0,144,144.0
127,iscience,iScience,4121,1873,0,2248,2248.0
128,j_healthc_qual,Journal for healthcare quality : official publication of the National Association for Healthcare Quality,1401,244,0,1157,1157.0
129,journal_of_clinical_and_experimental_hematopathology_jceh,Journal of clinical and experimental hematopathology : JCEH,414,145,0,269,269.0
130,journal_of_the_royal_army_medical_corps,Journal of the Royal Army Medical Corps,3296,1961,0,1335,1335.0
131,meta,Meta,1,1,0,0,0.0
132,nano,Nano,2,0,0,2,2.0
133,oceanology,Oceanology,1,0,0,1,1.0
134,osiris,Osiris,175,87,0,88,88.0
135,physiotherapy_canada_physiotherapie_canada,Physiotherapy Canada. Physiotherapie Canada,951,755,6,190,190.0
136,sucht,Sucht,2,0,0,2,2.0
137,transactions_of_the_royal_historical_society,Transactions of the Royal Historical Society,11,7,0,4,4.0
138,zhonghua_yi_xue_za_zhi,Zhonghua yi xue za zhi,17385,9312,8067,6,6.0
139,zhonghua_yi_xue_za_zhi,Zhonghua yi xue za zhi,17385,9312,8067,6,0.0
140,acta_medica_(hradec_kralove),Acta medica (Hradec Kralove),851,116,0,735,735.0
141,anasthesiol_intensivmed_notfallmed_schmerzther,"Anasthesiologie, Intensivmedizin, Notfallmedizin, Schmerztherapie : AINS",3444,1777,1649,18,18.0
142,archivaria,Archivaria,16,16,0,0,0.0
143,cilia,Cilia,102,32,0,70,70.0
144,der_pathologe,Der Pathologe,3461,2048,1407,6,6.0
145,endeavour,Endeavour,865,383,0,482,482.0
146,home_healthcare_now,Home healthcare now,844,572,0,272,272.0
147,indian_journal_of_public_health,Indian journal of public health,2491,1287,0,1204,1204.0
148,i-perception,i-Perception,741,121,0,620,620.0
149,journal_of_the_royal_society_of_western_australia,Journal of the Royal Society of Western Australia,3,0,0,3,3.0
150,journal_of_visceral_surgery,Journal of visceral surgery,1173,675,0,498,498.0
151,nursing_times,Nursing times,39110,35511,0,3599,3599.0
152,orbis,Orbis,21,10,0,11,11.0
153,polimery,Polimery,1,0,0,1,1.0
154,polity,Polity,1,1,0,0,0.0
155,screen,Screen,1,1,0,0,0.0
156,skinmed,Skinmed,1653,881,0,772,772.0
157,zhonghua_yu_fang_yi_xue_za_zhi,Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],5201,3146,2015,40,40.0
158,zoosystema,Zoosystema,1,1,0,0,0.0
