Rank,Title,IsoAbbr,H index,SJR,Country,Region,Coverage,search
918,Hippocampus,Hippocampus,155,"1,767",United States,Northern America,1991-2020,Hippocampus[Journal]
969,Clinical journal of the American Society of Nephrology : CJASN,Clin J Am Soc Nephrol,151,"2,755",United States,Northern America,2006-2020,Clinical journal of the American Society of Nephrology : CJASN[Journal]
988,Journal of the American Medical Informatics Association : JAMIA,J Am Med Inform Assoc,150,"1,614",United States,Northern America,1994-2020,Journal of the American Medical Informatics Association : JAMIA[Journal]
989,Journal of the European Ceramic Society,J Eur Ceram Soc,150,"1,204",Netherlands,Western Europe,1989-2020,Journal of the European Ceramic Society[Journal]
1037,Autophagy,Autophagy,146,"3,934",United States,Northern America,2005-2020,Autophagy[Journal]
1038,Biogeochemistry,Biogeochemistry,146,"1,835",Netherlands,Western Europe,1984-2020,Biogeochemistry[Journal]
1054,Science advances,Sci Adv,146,"5,928",United States,Northern America,2015-2020,Science advances[Journal]
1063,Journal of the Association for Information Science and Technology,J Assoc Inf Sci Technol,145,"0,903",United Kingdom,Western Europe,2014-2020,Journal of the Association for Information Science and Technology[Journal]
1072,Appetite,Appetite,144,"1,131",United States,Northern America,"1970, 1980-2021",Appetite[Journal]
1091,Endoscopy,Endoscopy,143,"1,780",Germany,Western Europe,1969-2020,Endoscopy[Journal]
1098,Neurocomputing,Neurocomputing,143,"1,085",Netherlands,Western Europe,1989-2020,Neurocomputing[Journal]
1101,Haematologica,Haematologica,142,"2,782",Italy,Western Europe,1947-2020,Haematologica[Journal]
1117,Omega,Omega (Westport),142,"2,500",United Kingdom,Western Europe,1973-2020,Omega[Journal]
1117,Omega,Omega,142,"2,500",United Kingdom,Western Europe,1973-2020,Omega[Journal]
1127,Genomics,Genomics,141,"0,703",United States,Northern America,1987-2020,Genomics[Journal]
1161,Synthesis,Synthesis (Mass),140,"0,885",Germany,Western Europe,1970-2020,Synthesis[Journal]
1161,Synthesis,Synthesis (Stuttg),140,"0,885",Germany,Western Europe,1970-2020,Synthesis[Journal]
1166,eLife,Elife,139,"5,879",United Kingdom,Western Europe,2012-2020,eLife[Journal]
1207,Nature reviews. Rheumatology,Nat Rev Rheumatol,137,"2,683",United Kingdom,Western Europe,2009-2020,Nature reviews. Rheumatology[Journal]
1239,Biochimie,Biochimie,135,"1,254",Netherlands,Western Europe,1971-2020,Biochimie[Journal]
1268,Resuscitation,Resuscitation,134,"2,366",Ireland,Western Europe,"1972-1976, 1978-2020",Resuscitation[Journal]
1270,Tectonics,Tectonics,134,"2,465",United States,Northern America,1982-2020,Tectonics[Journal]
1284,Immunology,Immunology,133,"2,297",United Kingdom,Western Europe,1958-2020,Immunology[Journal]
1297,Theriogenology,Theriogenology,133,"0,816",United States,Northern America,1974-2020,Theriogenology[Journal]
1303,CrystEngComm,CrystEngComm,132,"0,813",United Kingdom,Western Europe,"1999-2000, 2002-2020",CrystEngComm[Journal]
1316,Transfusion,Transfusion,132,"1,045",United Kingdom,Western Europe,1958-2020,Transfusion[Journal]
1316,Transfusion,Transfusion (Paris),132,"1,045",United Kingdom,Western Europe,1958-2020,Transfusion[Journal]
1321,BioTechniques,Biotechniques,131,"0,617",United States,Northern America,1984-2020,BioTechniques[Journal]
1335,Phytopathology,Phytopathology,131,"1,264",United States,Northern America,"1946-1948, 1965-1971, 1974-1975, 1977-1989, 1993-2020",Phytopathology[Journal]
1341,Biometrics,Biometrics,130,"2,298",United Kingdom,Western Europe,"1946-1951, 1965-2020",Biometrics[Journal]
1356,Neuropsychology,Neuropsychology,130,"1,130",United States,Northern America,1990-2020,Neuropsychology[Journal]
1367,Demography,Demography,129,"2,099",United States,Northern America,1964-2020,Demography[Journal]
1385,Catena,Catena (Amst),128,"1,440",Netherlands,Western Europe,"1973, 1975-2021",Catena[Journal]
1390,Ecography,Ecography,128,"2,973",United Kingdom,Western Europe,1978-2020,Ecography[Journal]
1392,Electroanalysis,Electroanalysis,128,"0,574",Germany,Western Europe,1989-2020,Electroanalysis[Journal]
1395,Glycobiology,Glycobiology,128,"1,757",United Kingdom,Western Europe,1990-2020,Glycobiology[Journal]
1410,Ambio,Ambio,127,"1,564",Netherlands,Western Europe,1973-2020,Ambio[Journal]
1431,Journal of the American Society for Mass Spectrometry,J Am Soc Mass Spectrom,127,"0,961",United States,Northern America,1990-2020,Journal of the American Society for Mass Spectrometry[Journal]
1435,Oncotarget,Oncotarget,127,"1,373",United States,Northern America,2010-2020,Oncotarget[Journal]
1459,Biopolymers,Biopolymers,125,"0,556",United States,Northern America,1963-2020,Biopolymers[Journal]
1497,Histopathology,Histopathology,124,"1,626",United Kingdom,Western Europe,1977-2020,Histopathology[Journal]
1508,Placenta,Placenta,124,"1,259",United Kingdom,Western Europe,"1970, 1977, 1980-2020",Placenta[Journal]
1513,Ultramicroscopy,Ultramicroscopy,124,"1,290",Netherlands,Western Europe,1975-2020,Ultramicroscopy[Journal]
1539,Biometrika,Biometrika,122,"3,307",United Kingdom,Western Europe,"1908-1913, 1945, 1947-1951, 1965-2020",Biometrika[Journal]
1559,Peptides,Peptides,122,"0,818",United States,Northern America,1980-2020,Peptides[Journal]
1560,Periodontology 2000,Periodontol 2000,122,"3,725",Denmark,Western Europe,1993-2020,Periodontology 2000[Journal]
1579,Injury,Injury,121,"0,967",United Kingdom,Western Europe,1969-2020,Injury[Journal]
1593,Journal of the American College of Nutrition,J Am Coll Nutr,121,"0,748",United Kingdom,Western Europe,1982-2020,Journal of the American College of Nutrition[Journal]
1595,mBio,mBio,121,"3,562",United States,Northern America,2010-2020,mBio[Journal]
1617,Lipids,Lipids,120,"0,601",Germany,Western Europe,1966-2020,Lipids[Journal]
1639,Headache,Headache,119,"1,140",United Kingdom,Western Europe,1961-2020,Headache[Journal]
1669,Heredity,Heredity (Edinb),118,"1,441",United Kingdom,Western Europe,1947-2020,Heredity[Journal]
1683,Anaesthesia,Anaesthesia,117,"1,839",United Kingdom,Western Europe,1947-2020,Anaesthesia[Journal]
1691,Cornea,Cornea,117,"1,274",United States,Northern America,1982-2020,Cornea[Journal]
1713,Annals of the American Association of Geographers,Ann Am Assoc Geogr,116,"1,631",United Kingdom,Western Europe,2016-2020,Annals of the American Association of Geographers[Journal]
1741,Scientometrics,Scientometrics,116,"0,999",Netherlands,Western Europe,1978-2020,Scientometrics[Journal]
1755,Cytokine,Cytokine,115,"1,123",United States,Northern America,1989-2020,Cytokine[Journal]
1775,Nutrients,Nutrients,115,"1,418",Switzerland,Western Europe,2009-2020,Nutrients[Journal]
1785,Annals of the American Thoracic Society,Ann Am Thorac Soc,114,"2,035",United States,Northern America,2013-2020,Annals of the American Thoracic Society[Journal]
1813,Journal of the Geological Society,J Geol Soc London,114,"1,429",United Kingdom,Western Europe,"1845-1931, 1933-2020",Journal of the Geological Society[Journal]
1817,Parasitology,Parasitology,114,"0,951",United Kingdom,Western Europe,1908-2020,Parasitology[Journal]
1911,Intermetallics,Intermetallics (Barking),111,"1,133",United Kingdom,Western Europe,1993-2020,Intermetallics[Journal]
1926,Journal of the American Veterinary Medical Association,J Am Vet Med Assoc,111,"0,600",United States,Northern America,1945-2020,Journal of the American Veterinary Medical Association[Journal]
1942,Apoptosis : an international journal on programmed cell death,Apoptosis,110,"1,318",Netherlands,Western Europe,1996-2020,Apoptosis : an international journal on programmed cell death[Journal]
1960,Ergonomics,Ergonomics,110,"0,816",United Kingdom,Western Europe,1957-2020,Ergonomics[Journal]
1981,Mycologia,Mycologia,110,"0,915",United Kingdom,Western Europe,"1945-1949, 1960, 1965-1980, 1982, 1985, 1988-2020",Mycologia[Journal]
2009,Journal of the National Comprehensive Cancer Network : JNCCN,J Natl Compr Canc Netw,109,"3,707",United States,Northern America,2003-2020,Journal of the National Comprehensive Cancer Network : JNCCN[Journal]
2016,Pharmacotherapy,Pharmacotherapy,109,"1,227",United States,Northern America,1981-2020,Pharmacotherapy[Journal]
2020,Sociology,Sociology,109,"1,847",United Kingdom,Western Europe,1967-2020,Sociology[Journal]
2068,Antonie van Leeuwenhoek,Antonie Van Leeuwenhoek,107,"1,024",Netherlands,Western Europe,"1934-1939, 1941-1944, 1946-2020",Antonie van Leeuwenhoek[Journal]
2092,Optica,Optica,107,"5,074",United States,Northern America,2014-2020,Optica[Journal]
2108,ChemCatChem,ChemCatChem,106,"1,497",Germany,Western Europe,2009-2020,ChemCatChem[Journal]
2143,Cold Spring Harbor perspectives in medicine,Cold Spring Harb Perspect Med,105,"3,853",United States,Northern America,2011-2020,Cold Spring Harbor perspectives in medicine[Journal]
2162,Journal of the American Water Resources Association,J Am Water Resour Assoc,105,"0,957",United States,Northern America,1967-2020,Journal of the American Water Resources Association[Journal]
2164,Maturitas,Maturitas,105,"1,346",Ireland,Western Europe,1978-2021,Maturitas[Journal]
2178,Transactions of the Royal Society of Tropical Medicine and Hygiene,Trans R Soc Trop Med Hyg,105,"0,725",United Kingdom,Western Europe,1907-2020,Transactions of the Royal Society of Tropical Medicine and Hygiene[Journal]
2200,Pancreas,Pancreas,104,"1,061",United States,Northern America,1986-2020,Pancreas[Journal]
2205,Steroids,Steroids,104,"0,469",United States,Northern America,1963-2020,Steroids[Journal]
2214,Fitoterapia,Fitoterapia,103,"0,624",Netherlands,Western Europe,"1948-1949, 1961, 1972-2020",Fitoterapia[Journal]
2234,Lupus,Lupus,103,"1,069",United Kingdom,Western Europe,1991-2020,Lupus[Journal]
2239,Optical Materials,Opt Mater (Amst),103,"0,598",Netherlands,Western Europe,1992-2020,Optical Materials[Journal]
2256,Contraception,Contraception,102,"2,040",United States,Northern America,1970-2020,Contraception[Journal]
2310,Neuroendocrinology,Neuroendocrinology,101,"1,493",Switzerland,Western Europe,"1965, 1967-2020",Neuroendocrinology[Journal]
2319,Transactions of the ASABE,Trans ASABE,101,"0,396",United States,Northern America,2006-2020,Transactions of the ASABE[Journal]
2327,ChemMedChem,ChemMedChem,100,"0,817",United Kingdom,Western Europe,2006-2020,ChemMedChem[Journal]
2353,"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",Natl Vital Stat Rep,100,"28,083",United States,Northern America,1998-2020,"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System[Journal]"
2356,PharmacoEconomics,Pharmacoeconomics,100,"1,809",United Kingdom,Western Europe,1992-2020,PharmacoEconomics[Journal]
2367,Bulletin of the Chemical Society of Japan,Bull Chem Soc Jpn,99,"1,145",Japan,Asiatic Region,1965-2020,Bulletin of the Chemical Society of Japan[Journal]
2378,Genome,Genome,99,"0,642",Canada,Northern America,1987-2020,Genome[Journal]
2380,HLA,HLA,99,"0,347",United Kingdom,Western Europe,"2011, 2016-2020",HLA[Journal]
2410,Psychosomatics,Psychosomatics,99,"0,543",United States,Northern America,1960-2020,Psychosomatics[Journal]
2420,Antipode,Antipode,98,"2,177",United Kingdom,Western Europe,1969-2020,Antipode[Journal]
2447,Oncology,Oncology,98,"0,987",Switzerland,Western Europe,1948-2020,Oncology[Journal]
3944,Oncology,Oncology,74,"0,542",United States,Northern America,"1973, 1987-2020",Oncology[Journal]
2467,Die Naturwissenschaften,Naturwissenschaften,97,"0,783",Germany,Western Europe,"1913-1944, 1946-2020",Die Naturwissenschaften[Journal]
2498,Polyhedron,Polyhedron,97,"0,496",United Kingdom,Western Europe,1982-2020,Polyhedron[Journal]
2506,Theranostics,Theranostics,97,"2,689",Australia,Pacific Region,2012-2020,Theranostics[Journal]
2513,Biotropica,Biotropica,96,"0,813",United States,Northern America,"1979-1986, 1988-2020",Biotropica[Journal]
2553,Alcohol research : current reviews,Alcohol Res,95,"1,207",United States,Northern America,2012-2020,Alcohol research : current reviews[Journal]
2619,Gerontology,Gerontology,94,"1,397",Switzerland,Western Europe,1957-2020,Gerontology[Journal]
2636,Neuroradiology,Neuroradiology,94,"0,811",Germany,Western Europe,1970-2020,Neuroradiology[Journal]
2646,Ultrasonics,Ultrasonics,94,"0,810",Netherlands,Western Europe,1963-2021,Ultrasonics[Journal]
2648,AAPS PharmSciTech,AAPS PharmSciTech,93,"0,652",Switzerland,Western Europe,2000-2020,AAPS PharmSciTech[Journal]
2659,Energies,Energies (Basel),93,"0,598",Switzerland,Western Europe,"1975-1976, 2009-2020",Energies[Journal]
2668,Intelligence,Intelligence,93,"1,460",United Kingdom,Western Europe,1977-2020,Intelligence[Journal]
2682,Journal of the European Economic Association,J Eur Econ Assoc,93,"7,792",United States,Northern America,2003-2020,Journal of the European Economic Association[Journal]
2719,Epigenetics,Epigenetics,92,"1,515",United States,Northern America,2006-2020,Epigenetics[Journal]
2731,Immunobiology,Immunobiology,92,"0,946",Germany,Western Europe,1979-2020,Immunobiology[Journal]
2779,Immunogenetics,Immunogenetics,91,"1,003",Germany,Western Europe,1974-2020,Immunogenetics[Journal]
2790,Journal of the American Medical Directors Association,J Am Med Dir Assoc,91,"1,840",United States,Northern America,2001-2020,Journal of the American Medical Directors Association[Journal]
2797,Mutagenesis,Mutagenesis,91,"0,723",United Kingdom,Western Europe,1986-2020,Mutagenesis[Journal]
2801,Perception,Perception,91,"0,619",United States,Northern America,1972-2020,Perception[Journal]
2802,Pharmacogenomics,Pharmacogenomics,91,"0,541",United Kingdom,Western Europe,2000-2020,Pharmacogenomics[Journal]
2807,Scientific American,Sci Am,91,"0,130",United States,Northern America,"1947-1950, 1958-2018, 2020",Scientific American[Journal]
2812,Weed Science,Weed Sci,91,"0,914",United States,Northern America,"1973-1974, 1976, 1979, 1981, 1983, 1989, 1993-2020",Weed Science[Journal]
2815,Advanced healthcare materials,Adv Healthc Mater,90,"2,288",United Kingdom,Western Europe,2012-2020,Advanced healthcare materials[Journal]
2817,Aging,Aging,90,"1,473",United States,Northern America,2009-2020,Aging[Journal]
2817,Aging,Aging (Albany NY),90,"1,473",United States,Northern America,2009-2020,Aging[Journal]
2820,Astrobiology,Astrobiology,90,"1,234",United States,Northern America,2001-2020,Astrobiology[Journal]
2828,Cytometry. Part A : the journal of the International Society for Analytical Cytology,Cytometry A,90,"1,316",United States,Northern America,2003-2020,Cytometry. Part A : the journal of the International Society for Analytical Cytology[Journal]
2857,Nonlinearity,Nonlinearity,90,"1,571",United Kingdom,Western Europe,1988-2020,Nonlinearity[Journal]
2887,"Cancer journal (Sudbury, Mass.)",Cancer J,89,"1,825",United States,Northern America,1996-2020,"Cancer journal (Sudbury, Mass.)[Journal]"
2921,Memorias do Instituto Oswaldo Cruz,Mem Inst Oswaldo Cruz,89,"0,839",Brazil,Latin America,"1945, 1948, 1950-1971, 1974-1976, 1980-2020",Memorias do Instituto Oswaldo Cruz[Journal]
2925,Mycorrhiza,Mycorrhiza,89,"1,095",Germany,Western Europe,1991-2020,Mycorrhiza[Journal]
2942,Angiogenesis,Angiogenesis,88,"1,061",Netherlands,Western Europe,"1997-1999, 2001-2020",Angiogenesis[Journal]
2978,Mitochondrion,Mitochondrion,88,"1,397",Netherlands,Western Europe,2001-2020,Mitochondrion[Journal]
2989,Retrovirology,Retrovirology,88,"2,126",United Kingdom,Western Europe,2004-2020,Retrovirology[Journal]
2994,Transportation,Transportation (Amst),88,"1,953",Netherlands,Western Europe,1972-2020,Transportation[Journal]
3003,Assessment,Assessment,87,"1,590",United States,Northern America,1994-2020,Assessment[Journal]
3028,Genetica,Genetica,87,"0,414",Netherlands,Western Europe,"1919-1941, 1943, 1949-2020",Genetica[Journal]
3036,Journal of AOAC International,J AOAC Int,87,"0,432",United States,Northern America,1993-2020,Journal of AOAC International[Journal]
3048,Nanotoxicology,Nanotoxicology,87,"1,176",United Kingdom,Western Europe,2007-2020,Nanotoxicology[Journal]
3049,Neuroepidemiology,Neuroepidemiology,87,"1,217",Switzerland,Western Europe,1982-2020,Neuroepidemiology[Journal]
3060,Zootaxa,Zootaxa,87,"0,621",New Zealand,Pacific Region,2005-2020,Zootaxa[Journal]
3065,Biofouling,Biofouling,86,"0,668",United Kingdom,Western Europe,1988-2020,Biofouling[Journal]
3070,Chromosoma,Chromosoma,86,"1,945",Germany,Western Europe,"1939, 1941, 1948, 1950-2020",Chromosoma[Journal]
3075,Cytotherapy,Cytotherapy,86,"1,192",United States,Northern America,1999-2020,Cytotherapy[Journal]
3079,Eos,Eos (Washington DC),86,"0,316",United States,Northern America,1920-2019,Eos[Journal]
